state,CZ20,PUMA20,PUMA20_name,pop_overlap,share_of_CZ20,CZ20_total_pop,cells,grid_res_m,crs_epsg,method
AL,100,G12003301,Escambia County (North) PUMA,22.678181290626526,2.8879374938166712e-05,785272.5808360642,13,100,5070,building_footprint_area
AL,305,G01002801,Mobile County (Outer)--Prichard & Saraland Cities PUMA,1.6686999201774597,3.688705248416763e-6,452380.93254907965,2,100,5070,building_footprint_area
AL,2,G01002803,Mobile City (East) PUMA,145517.66547322762,0.21158618898061213,687746.5215206535,12482,100,5070,building_footprint_area
AL,305,G28001900,"South Region--George, Hancock, Pearl River & Stone Counties PUMA",2.451007843017578,5.418017574716555e-6,452380.93254907965,1,100,5070,building_footprint_area
AL,2,G01002802,Mobile City (West) & Tillmans Corner CDP PUMA,129475.6989225191,0.18826078340060476,687746.5215206535,13485,100,5070,building_footprint_area
AL,2,G28002100,South Region--Jackson County PUMA,3.3908045291900635,4.930311420103977e-6,687746.5215206535,2,100,5070,building_footprint_area
AL,305,G28002100,South Region--Jackson County PUMA,5.56492805480957,1.2301420449912135e-5,452380.93254907965,3,100,5070,building_footprint_area
AL,2,G01002702,"Baldwin County (South)--Foley, Gulf Shores & Robertsdale Cities PUMA",110261.35318769887,0.16032266211089466,687746.5215206535,22372,100,5070,building_footprint_area
AR,56,G29002400,"Dunklin, Stoddard, New Madrid, Pemiscot, Mississippi & Bollinger Counties PUMA",20.24341082572937,2.4190023818458655e-4,83684.95615238813,6,100,5070,building_footprint_area
AR,46,G05000500,Northeast Arkansas PUMA,94195.4154606997,0.41353746130962155,227779.64337836427,29779,100,5070,building_footprint_area
AR,313,G05000500,Northeast Arkansas PUMA,1.2992967814207077,1.893703832694077e-5,68611.40369411744,2,100,5070,building_footprint_area
AR,313,G29002500,"Butler, Ripley, Wayne, Madison, Iron, Reynolds, Dent, Shannon & Carter Counties PUMA",2.296106696128845,3.346537998792914e-5,68611.40369411744,2,100,5070,building_footprint_area
AR,319,G05000500,Northeast Arkansas PUMA,0.9181650280952454,8.440835293387105e-6,108776.56016041129,2,100,5070,building_footprint_area
AR,52,G05000500,Northeast Arkansas PUMA,17171.776809424628,0.18561236876985435,92514.18385116546,8382,100,5070,building_footprint_area
AR,319,G29002600,"Howell, Texas, Wright, Douglas, Oregon & Ozark Counties PUMA",18.687054961919785,1.7179303090998873e-4,108776.56016041129,8,100,5070,building_footprint_area
AR,52,G05000400,"Independence, Cleburne & Van Buren Counties PUMA",75325.84899331373,0.8142086527455735,92514.18385116546,32235,100,5070,building_footprint_area
AR,319,G05000400,"Independence, Cleburne & Van Buren Counties PUMA",0.9922263026237488,9.121692220828885e-6,108776.56016041129,2,100,5070,building_footprint_area
AR,41,G05000300,"Baxter, Boone & Carroll Counties PUMA",58026.09421581845,0.8737554506751934,66409.99397597904,21821,100,5070,building_footprint_area
AR,41,G29002600,"Howell, Texas, Wright, Douglas, Oregon & Ozark Counties PUMA",3.4187270402908325,5.147910480954734e-5,66409.99397597904,3,100,5070,building_footprint_area
AR,43,G05000300,"Baxter, Boone & Carroll Counties PUMA",72467.020921893185,0.999933307730045,72471.85423435993,29888,100,5070,building_footprint_area
AR,310,G05000300,"Baxter, Boone & Carroll Counties PUMA",46.65238852798939,7.204807082281384e-5,647517.5253855239,18,100,5070,building_footprint_area
AR,310,G29002800,"Taney, Barry, Stone & McDonald Counties PUMA",9.437288165092468,1.4574567938487261e-5,647517.5253855239,7,100,5070,building_footprint_area
AR,310,G05000101,Benton County (Outer) PUMA,1.8491581678390503,2.8557654354422057e-6,647517.5253855239,1,100,5070,building_footprint_area
AR,42,G05000101,Benton County (Outer) PUMA,170617.8204223765,0.2999074644438067,568901.546811433,35393,100,5070,building_footprint_area
AR,42,G29002800,"Taney, Barry, Stone & McDonald Counties PUMA",11.700689315795898,2.0567160313371737e-5,568901.546811433,5,100,5070,building_footprint_area
AR,439,G40020500,"Northeast Oklahoma Counties--Miami, Pryor Creek, Grove & Vinita Cities PUMA",14.112968511879444,1.1488640704601209e-4,122842.80512164673,10,100,5070,building_footprint_area
AR,42,G05000102,Benton County (Central)--Bentonville & Rogers Cities PUMA,113230.73922993056,0.19903398024590324,568901.546811433,9090,100,5070,building_footprint_area
AR,439,G05000101,Benton County (Outer) PUMA,0.9926000237464905,8.08024550370333e-6,122842.80512164673,1,100,5070,building_footprint_area
AR,43,G05000101,Benton County (Outer) PUMA,2.0257314443588257,2.795197481505031e-5,72471.85423435993,3,100,5070,building_footprint_area
AR,42,G05000300,"Baxter, Boone & Carroll Counties PUMA",16468.69043441303,0.028948225798851115,568901.546811433,9850,100,5070,building_footprint_area
AR,42,G05000201,Washington County (Outer)--Springdale City PUMA,139876.45223418344,0.2458711054982359,568901.546811433,25942,100,5070,building_footprint_area
AR,42,G40020500,"Northeast Oklahoma Counties--Miami, Pryor Creek, Grove & Vinita Cities PUMA",12.44773006439209,2.188028866182357e-5,568901.546811433,2,100,5070,building_footprint_area
AR,52,G05000300,"Baxter, Boone & Carroll Counties PUMA",0.5294948369264603,5.7233908886695525e-6,92514.18385116546,2,100,5070,building_footprint_area
AR,42,G05000202,Washington County (Central)--Fayetteville City PUMA,105577.31420022994,0.1855809933932635,568901.546811433,10869,100,5070,building_footprint_area
AR,56,G05000600,East Arkansas PUMA,40140.99327289057,0.47966797281694057,83684.95615238813,6453,100,5070,building_footprint_area
AR,47,G05000300,"Baxter, Boone & Carroll Counties PUMA",7696.876672242768,0.16084836542629158,47851.755607487634,4875,100,5070,building_footprint_area
AR,46,G05000700,Craighead & Poinsett Counties PUMA,133572.98194053478,0.5864131665122374,227779.64337836427,20976,100,5070,building_footprint_area
AR,433,G05000201,Washington County (Outer)--Springdale City PUMA,0.42077502608299255,2.7940441126166016e-6,150597.13058321754,3,100,5070,building_footprint_area
AR,433,G40020600,"East Oklahoma Counties--Tahleqhah, Ft. Gibson, Sallisaw & Stilwell Cities PUMA",5.460531458258629,3.6259199873939346e-5,150597.13058321754,6,100,5070,building_footprint_area
AR,53,G05000800,"White, Lonoke & Woodruff Counties PUMA",99476.86118141189,0.9999843760795473,99478.41542426124,27751,100,5070,building_footprint_area
AR,47,G05000400,"Independence, Cleburne & Van Buren Counties PUMA",40154.878935244866,0.8391516345737084,47851.755607487634,19775,100,5070,building_footprint_area
AR,54,G05000300,"Baxter, Boone & Carroll Counties PUMA",4.438503742218018,4.08922770395176e-5,108541.36926463456,2,100,5070,building_footprint_area
AR,50,G05001100,"Sebastian, Crawford & Franklin Counties PUMA",204278.70023678063,0.7450965514678424,274164.06616612436,41577,100,5070,building_footprint_area
AR,54,G05001000,"Pope, Johnson & Conway Counties PUMA",108536.48430764885,0.9999549945148213,108541.36926463456,32749,100,5070,building_footprint_area
AR,43,G05001000,"Pope, Johnson & Conway Counties PUMA",0.5243291854858398,7.234935424589261e-6,72471.85423435993,1,100,5070,building_footprint_area
AR,53,G05000700,Craighead & Poinsett Counties PUMA,1.5542428493499756,1.5623920452706767e-5,99478.41542426124,1,100,5070,building_footprint_area
AR,46,G05000800,"White, Lonoke & Woodruff Counties PUMA",0.22146569192409515,9.72280440163035e-7,227779.64337836427,1,100,5070,building_footprint_area
AR,52,G05000800,"White, Lonoke & Woodruff Counties PUMA",1.8915452361106873,2.044600251950294e-5,92514.18385116546,2,100,5070,building_footprint_area
AR,56,G05000700,Craighead & Poinsett Counties PUMA,1.1717371940612793,1.4001766242520058e-5,83684.95615238813,1,100,5070,building_footprint_area
AR,39,G05000600,East Arkansas PUMA,64513.12597324565,0.6681823393957571,96550.18124481622,16182,100,5070,building_footprint_area
AR,46,G05000600,East Arkansas PUMA,2.1158337593078613,9.288950179772011e-6,227779.64337836427,1,100,5070,building_footprint_area
AR,51,G05000600,East Arkansas PUMA,47790.80869778106,0.03559395534213749,1342666.4229475074,5573,100,5070,building_footprint_area
AR,49,G05001000,"Pope, Johnson & Conway Counties PUMA",20572.609333124477,0.026917036003016384,764296.9802031347,8774,100,5070,building_footprint_area
AR,50,G05001200,West Arkansas PUMA,30759.992739032023,0.11219556657871278,274164.06616612436,15331,100,5070,building_footprint_area
AR,49,G05000900,Faulkner & Lonoke Counties PUMA,196089.77604281437,0.25656228026793676,764296.9802031347,39614,100,5070,building_footprint_area
AR,49,G05000400,"Independence, Cleburne & Van Buren Counties PUMA",0.1266976147890091,1.6577013657091177e-7,764296.9802031347,1,100,5070,building_footprint_area
AR,443,G05001100,"Sebastian, Crawford & Franklin Counties PUMA",34.060922384262085,3.0394183380538325e-4,112063.94972951175,5,100,5070,building_footprint_area
AR,443,G40022100,"Southeast Oklahoma Counties--Poteau, Idabel, Broken Bow, Wilburton & Hugo Cities PUMA",12.80800130404532,1.142918961446561e-4,112063.94972951175,11,100,5070,building_footprint_area
AR,54,G05001200,West Arkansas PUMA,0.4464532434940338,4.113208139152334e-6,108541.36926463456,1,100,5070,building_footprint_area
AR,50,G40022100,"Southeast Oklahoma Counties--Poteau, Idabel, Broken Bow, Wilburton & Hugo Cities PUMA",2.3260355591773987,8.484100749249842e-6,274164.06616612436,3,100,5070,building_footprint_area
AR,39,G05000800,"White, Lonoke & Woodruff Counties PUMA",15003.71325929463,0.15539808486998752,96550.18124481622,5998,100,5070,building_footprint_area
AR,49,G05001400,"Saline, Grant & Perry Counties PUMA",149938.13174670376,0.19617784137633676,764296.9802031347,33976,100,5070,building_footprint_area
AR,49,G05001501,"Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities PUMA",200281.00199542497,0.2620460464755393,764296.9802031347,27318,100,5070,building_footprint_area
AR,39,G05000900,Faulkner & Lonoke Counties PUMA,2.27435702085495,2.35562170006497e-5,96550.18124481622,2,100,5070,building_footprint_area
AR,49,G05001502,Pulaski County (Central)--Little Rock City PUMA,197397.88070347998,0.25827379384779936,764296.9802031347,14450,100,5070,building_footprint_area
AR,45,G05001300,West Central Arkansas PUMA,172027.14352301625,0.8080468455549394,212892.5376905268,46913,100,5070,building_footprint_area
AR,49,G05001300,West Central Arkansas PUMA,14.066258430480957,1.84041789969423e-5,764296.9802031347,3,100,5070,building_footprint_area
AR,57,G40022100,"Southeast Oklahoma Counties--Poteau, Idabel, Broken Bow, Wilburton & Hugo Cities PUMA",0.9963559806346893,1.10783039776974e-5,89937.5917686075,2,100,5070,building_footprint_area
AR,57,G05001200,West Arkansas PUMA,34823.1039522076,0.38719186568616265,89937.5917686075,16378,100,5070,building_footprint_area
AR,39,G05001600,Southeast Arkansas PUMA,17031.067655255087,0.17639601951725475,96550.18124481622,5092,100,5070,building_footprint_area
AR,45,G05001400,"Saline, Grant & Perry Counties PUMA",1.1050859689712524,5.190815896880664e-6,212892.5376905268,1,100,5070,building_footprint_area
AR,49,G05001600,Southeast Arkansas PUMA,3.3874255418777466,4.432080237942896e-6,764296.9802031347,2,100,5070,building_footprint_area
AR,40,G05001600,Southeast Arkansas PUMA,155005.8073986658,0.9998974031322951,155021.7121407577,40605,100,5070,building_footprint_area
AR,45,G05001200,West Arkansas PUMA,12719.219964927528,0.05974479003776515,212892.5376905268,5316,100,5070,building_footprint_area
AR,44,G05001700,Southwest Arkansas PUMA,72172.2681337063,0.9995962071291766,72201.42255339667,21166,100,5070,building_footprint_area
AR,45,G05001700,Southwest Arkansas PUMA,28145.06911661406,0.1322031735913985,212892.5376905268,11299,100,5070,building_footprint_area
AR,55,G05001200,West Arkansas PUMA,54399.9884592169,0.22599085524663384,240717.65381766343,14708,100,5070,building_footprint_area
AR,48,G05001700,Southwest Arkansas PUMA,28808.73134048935,0.9990342405026269,28836.58054201957,9920,100,5070,building_footprint_area
AR,55,G48001100,Ark-Tex COG (East)--Bowie & Cass Counties PUMA,7.468591079115868,3.102635374127195e-5,240717.65381766343,5,100,5070,building_footprint_area
AR,243,G22000500,North Delta Regional Planning & Development District 2--Northeast Louisiana PUMA,19.988368690013885,6.848477365452849e-5,291865.8794266479,8,100,5070,building_footprint_area
AR,44,G22000500,North Delta Regional Planning & Development District 2--Northeast Louisiana PUMA,7.782066345214844,1.0778272878847512e-4,72201.42255339667,2,100,5070,building_footprint_area
AR,244,G22000200,Coordinating & Development Corporation 3--Bossier & Webster Parishes PUMA,2.829016387462616,5.415679215232903e-6,522375.17678398045,3,100,5070,building_footprint_area
AR,244,G22000101,Coordinating & Development Corporation 1--Shreveport City (North) PUMA,3.5429673194885254,6.782418991080161e-6,522375.17678398045,1,100,5070,building_footprint_area
AZ,37,G04000601,Mohave County North--City of Kingman & Bullhead City PUMA,109494.03548657265,0.00582282284975082,18804287.595879428,17727,100,5070,building_footprint_area
AZ,364,G49053000,Washington County--St. George City PUMA,2.145016670227051,8.796706047869777e-6,243843.16794881318,1,100,5070,building_footprint_area
AZ,37,G32000402,"Clark County (East)--Mesquite City, Sunrise Manor (North), Moapa Valley & Nellis AFB PUMA",3.587343454360962,1.907726328939499e-7,18804287.595879428,1,100,5070,building_footprint_area
AZ,34,G04000500,Coconino County PUMA,140603.01318300876,0.36995870451179796,380050.5609634195,22619,100,5070,building_footprint_area
AZ,32,G04001000,Navajo & Apache Counties PUMA,170607.95672414778,0.9998488615242832,170633.74604843138,48838,100,5070,building_footprint_area
AZ,538,G49013000,Southeast Utah & Uintah Basin Region PUMA,4.527499616146088,1.8871295595871516e-4,23991.46149317152,2,100,5070,building_footprint_area
AZ,74,G35000100,Northwest New Mexico Navajo Nation PUMA,4.998927593231201,5.1912657476448875e-5,96294.96612649923,1,100,5070,building_footprint_area
AZ,37,G04000602,Mohave County South--Lake Havasu City PUMA,101037.66554199066,0.005373118499002907,18804287.595879428,15007,100,5070,building_footprint_area
AZ,34,G04002503,Yavapai Rural PUMA,99666.5648912494,0.26224554080014234,380050.5609634195,23747,100,5070,building_footprint_area
AZ,32,G35000100,Northwest New Mexico Navajo Nation PUMA,18.59974241256714,1.090038919223395e-4,170633.74604843138,5,100,5070,building_footprint_area
AZ,34,G04002502,Yavapai Urban PUMA,132157.42868080304,0.3477364389248288,380050.5609634195,18602,100,5070,building_footprint_area
AZ,37,G04000701,"La Paz & Yuma Counties--Parker, Quartzsite, Wellton Somerton & San Luis Cities PUMA",16168.00000197906,8.598039101211122e-4,18804287.595879428,4285,100,5070,building_footprint_area
AZ,35,G04000400,"Gila, Graham, Greenlee Counties PUMA",52840.30807372276,0.010816854765854308,4884997.461602644,10821,100,5070,building_footprint_area
