CZ20,PUMA2010,PUMA2010_name,pop_overlap,share_of_CZ20,afactor,CZ20_total_pop,cells,grid_res_m,crs_epsg,method,state_fips,state
7,G01001900,Lee County--Auburn City PUMA,172649.22144216485,0.21849921323297827,0.21849921323297827,790159.4650506813,24747,100,5070,building_footprint_area,01,AL
1,G01002100,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties PUMA",187128.07438444882,0.40818391773573215,0.40818391773573215,458440.5858576719,48705,100,5070,building_footprint_area,01,AL
4,G28001400,"East Central Region--Neshoba, Scott, Leake, Jasper, Smith & Kemper Counties PUMA",0.4444666802883148,1.2122527729494278e-6,1.2122527729494278e-6,366645.216415485,1,100,5070,building_footprint_area,28,MS
7,G01002400,"Russell, Pike, Barbour, Macon & Bullock Counties PUMA",77742.9822615874,0.09838897804837524,0.09838897804837524,790159.4650506813,16546,100,5070,building_footprint_area,01,AL
6,G01002400,"Russell, Pike, Barbour, Macon & Bullock Counties PUMA",28.87206667661667,6.286102351294611e-5,6.286102351294611e-5,459299.9773646784,5,100,5070,building_footprint_area,01,AL
1,G01002000,Montgomery City & Pike Road Town (North) PUMA,196223.49763448536,0.42802383490410506,0.42802383490410506,458440.5858576719,15389,100,5070,building_footprint_area,01,AL
1,G01002400,"Russell, Pike, Barbour, Macon & Bullock Counties PUMA",43122.05201326171,0.09406246598474037,0.09406246598474037,458440.5858576719,13416,100,5070,building_footprint_area,01,AL
4,G01002100,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties PUMA",1.7034360468387604,4.646006467757687e-6,4.646006467757687e-6,366645.216415485,2,100,5070,building_footprint_area,01,AL
3,G01002400,"Russell, Pike, Barbour, Macon & Bullock Counties PUMA",25049.388828250812,0.08214424847991658,0.08214424847991658,304943.9162423542,8232,100,5070,building_footprint_area,01,AL
9,G01002200,Southwest Alabama PUMA,12549.830641649198,0.06015263232831432,0.06015263232831432,208633.10807666671,6732,100,5070,building_footprint_area,01,AL
2,G01002200,Southwest Alabama PUMA,48650.814268070506,0.07073945522908688,0.07073945522908688,687746.5215206535,21864,100,5070,building_footprint_area,01,AL
1,G01002300,"Coffee, Covington, Butler & Crenshaw Counties PUMA",31966.961825476028,0.0697297813754224,0.0697297813754224,458440.5858576719,14713,100,5070,building_footprint_area,01,AL
3,G01002500,"Houston, Dale, Geneva & Henry Counties--Dothan City PUMA",199209.09736006765,0.6532647045883224,0.6532647045883224,304943.9162423542,51361,100,5070,building_footprint_area,01,AL
2,G01002300,"Coffee, Covington, Butler & Crenshaw Counties PUMA",3.5807528495788574,5.206500851013501e-6,5.206500851013501e-6,687746.5215206535,1,100,5070,building_footprint_area,01,AL
2,G01001700,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties PUMA",1.3755154609680176,2.0000325962051556e-6,2.0000325962051556e-6,687746.5215206535,1,100,5070,building_footprint_area,01,AL
11,G01002200,Southwest Alabama PUMA,67639.52519698488,0.6437472515161802,0.6437472515161802,105071.55570400879,25742,100,5070,building_footprint_area,01,AL
3,G01002300,"Coffee, Covington, Butler & Crenshaw Counties PUMA",52968.831708091544,0.17370024088624403,0.17370024088624403,304943.9162423542,13984,100,5070,building_footprint_area,01,AL
11,G01002300,"Coffee, Covington, Butler & Crenshaw Counties PUMA",37430.96098237811,0.3562425694716349,0.3562425694716349,105071.55570400879,15359,100,5070,building_footprint_area,01,AL
304,G28001700,"South Region--Jones, Wayne, Covington, Greene & Jefferson Davis Counties PUMA",115948.17747715698,0.35660779881684807,0.35660779881684807,325142.0127710313,44915,100,5070,building_footprint_area,28,MS
3,G13001100,Southwest Georgia Regional Commission (West & Central) PUMA,16256.601497589145,0.05331013550921019,0.05331013550921019,304943.9162423542,6213,100,5070,building_footprint_area,13,GA
2,G01002600,Baldwin County PUMA,225331.6568577492,0.3276376540000898,0.3276376540000898,687746.5215206535,42286,100,5070,building_footprint_area,01,AL
305,G01002200,Southwest Alabama PUMA,7.874020099639893,1.740572940435686e-5,1.740572940435686e-5,452380.93254907965,2,100,5070,building_footprint_area,01,AL
305,G28001700,"South Region--Jones, Wayne, Covington, Greene & Jefferson Davis Counties PUMA",13387.71117051877,0.029593889147983294,0.029593889147983294,452380.93254907965,5855,100,5070,building_footprint_area,28,MS
94,G01002500,"Houston, Dale, Geneva & Henry Counties--Dothan City PUMA",4.981406718492508,1.6676901309544222e-5,1.6676901309544222e-5,298700.9772397969,4,100,5070,building_footprint_area,01,AL
94,G12000500,"Walton, Washington, Holmes & Bay Counties PUMA",217100.89489638084,0.7268168216339393,0.7268168216339393,298700.9772397969,40254,100,5070,building_footprint_area,12,FL
2,G01002703,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City PUMA",204078.81372121582,0.29673550841083707,0.29673550841083707,687746.5215206535,39671,100,5070,building_footprint_area,01,AL
100,G01002300,"Coffee, Covington, Butler & Crenshaw Counties PUMA",3.2077192664146423,4.0848481720824215e-6,4.0848481720824215e-6,785272.5808360642,3,100,5070,building_footprint_area,01,AL
100,G12000500,"Walton, Washington, Holmes & Bay Counties PUMA",71205.84933305904,0.09067660207522792,0.09067660207522792,785272.5808360642,17579,100,5070,building_footprint_area,12,FL
100,G12009100,Okaloosa County PUMA,207090.619568537,0.26371813383328846,0.26371813383328846,785272.5808360642,22854,100,5070,building_footprint_area,12,FL
100,G01002200,Southwest Alabama PUMA,56.89456759393215,7.245199817540762e-5,7.245199817540762e-5,785272.5808360642,24,100,5070,building_footprint_area,01,AL
100,G12011300,Santa Rosa County PUMA,184037.97385767475,0.23436189973898383,0.23436189973898383,785272.5808360642,26954,100,5070,building_footprint_area,12,FL
100,G12003301,Escambia County (North) PUMA,124556.73608699907,0.1586159241092895,0.1586159241092895,785272.5808360642,19685,100,5070,building_footprint_area,12,FL
305,G01002703,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City PUMA",3.585607349872589,7.926079752451945e-6,7.926079752451945e-6,452380.93254907965,3,100,5070,building_footprint_area,01,AL
2,G01002701,Mobile City (East) PUMA,98842.84922453319,0.14371988244445794,0.14371988244445794,687746.5215206535,8534,100,5070,building_footprint_area,01,AL
305,G28001900,"South Region--Pearl River, Hancock, George & Stone Counties PUMA",88374.19193900097,0.19535348548186895,0.19535348548186895,452380.93254907965,26742,100,5070,building_footprint_area,28,MS
2,G01002702,Mobile City (West) PUMA,110406.02555319201,0.16053301921335336,0.16053301921335336,687746.5215206535,8712,100,5070,building_footprint_area,01,AL
2,G28002100,South Region--Jackson County PUMA,24.58215242624283,3.5743041450635106e-5,3.5743041450635106e-5,687746.5215206535,13,100,5070,building_footprint_area,28,MS
305,G28002100,South Region--Jackson County PUMA,142569.31495631556,0.3151532363509772,0.3151532363509772,452380.93254907965,24209,100,5070,building_footprint_area,28,MS
56,G29002300,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA",43541.379971880466,0.5203011625242743,0.5203011625242743,83684.95615238813,9218,100,5070,building_footprint_area,29,MO
46,G05000500,"Craighead (West), Greene, Randolph, Lawrence & Clay Counties PUMA",195441.2166364867,0.8580275819987992,0.8580275819987992,227779.64337836427,43974,100,5070,building_footprint_area,05,AR
313,G05000500,"Craighead (West), Greene, Randolph, Lawrence & Clay Counties PUMA",1.2992967814207077,1.893703832694077e-5,1.893703832694077e-5,68611.40369411744,2,100,5070,building_footprint_area,05,AR
313,G29002400,"Butler, Ripley, Wayne, Madison, Iron, Reynolds & Carter Counties PUMA",68610.10439733602,0.9999810629616731,0.9999810629616731,68611.40369411744,28511,100,5070,building_footprint_area,29,MO
319,G05000500,"Craighead (West), Greene, Randolph, Lawrence & Clay Counties PUMA",0.4413319528102875,4.057233949662145e-6,4.057233949662145e-6,108776.56016041129,1,100,5070,building_footprint_area,05,AR
52,G05000400,"Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties PUMA",92508.64258938818,0.9999401036517147,0.9999401036517147,92514.18385116546,40621,100,5070,building_footprint_area,05,AR
319,G05000400,"Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties PUMA",1.4690593779087067,1.3505293564553844e-5,1.3505293564553844e-5,108776.56016041129,3,100,5070,building_footprint_area,05,AR
319,G29002500,"Howell, Texas, Wright, Douglas, Oregon, Ozark & Shannon Counties PUMA",108763.29326267331,0.9998780353256399,0.9998780353256399,108776.56016041129,51611,100,5070,building_footprint_area,29,MO
41,G05000300,"Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties PUMA",58027.822345920606,0.8737814728143127,0.8737814728143127,66409.99397597904,21822,100,5070,building_footprint_area,05,AR
41,G29002500,"Howell, Texas, Wright, Douglas, Oregon, Ozark & Shannon Counties PUMA",8380.585095170885,0.12619463718370763,0.12619463718370763,66409.99397597904,5822,100,5070,building_footprint_area,29,MO
43,G05000300,"Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties PUMA",72469.30417373008,0.9999648130897604,0.9999648130897604,72471.85423435993,29891,100,5070,building_footprint_area,05,AR
310,G05000300,"Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties PUMA",32.94014784693718,5.0871438309449656e-5,5.0871438309449656e-5,647517.5253855239,15,100,5070,building_footprint_area,05,AR
310,G29002700,"Taney, Barry, Stone & McDonald Counties PUMA",120922.1476721405,0.18674729707144985,0.18674729707144985,647517.5253855239,38931,100,5070,building_footprint_area,29,MO
42,G05000100,Benton County PUMA,283868.3188293027,0.4989761768452233,0.4989761768452233,568901.546811433,44493,100,5070,building_footprint_area,05,AR
42,G29002700,"Taney, Barry, Stone & McDonald Counties PUMA",23088.735061613377,0.04058476407916381,0.04058476407916381,568901.546811433,9335,100,5070,building_footprint_area,29,MO
439,G40000100,Northeast Oklahoma PUMA,122828.02282904228,0.9998796649702861,0.9998796649702861,122842.80512164673,43089,100,5070,building_footprint_area,40,OK
439,G05000100,Benton County PUMA,2.843338370323181,2.3146153065354762e-5,2.3146153065354762e-5,122842.80512164673,3,100,5070,building_footprint_area,05,AR
43,G05000100,Benton County PUMA,2.0257314443588257,2.795197481505031e-5,2.795197481505031e-5,72471.85423435993,3,100,5070,building_footprint_area,05,AR
42,G05000300,"Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties PUMA",16470.67716522701,0.028951718021407225,0.028951718021407225,568901.546811433,9855,100,5070,building_footprint_area,05,AR
52,G05000500,"Craighead (West), Greene, Randolph, Lawrence & Clay Counties PUMA",1.8692440688610077,2.0204945782888833e-5,2.0204945782888833e-5,92514.18385116546,3,100,5070,building_footprint_area,05,AR
42,G05000200,Washington County PUMA,245455.21903429646,0.4314546522329189,0.4314546522329189,568901.546811433,36812,100,5070,building_footprint_area,05,AR
42,G40000100,Northeast Oklahoma PUMA,12.909104406833649,2.2691280203378448e-5,2.2691280203378448e-5,568901.546811433,3,100,5070,building_footprint_area,40,OK
52,G05000300,"Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties PUMA",0.5294948369264603,5.7233908886695525e-6,5.7233908886695525e-6,92514.18385116546,2,100,5070,building_footprint_area,05,AR
56,G05000600,"Crittenden, Mississippi & Craighead (East) Counties PUMA",40141.456627597334,0.47967350971064365,0.47967350971064365,83684.95615238813,6454,100,5070,building_footprint_area,05,AR
47,G05000300,"Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties PUMA",7696.876672242768,0.16084836542629158,0.16084836542629158,47851.755607487634,4875,100,5070,building_footprint_area,05,AR
46,G05000600,"Crittenden, Mississippi & Craighead (East) Counties PUMA",9602.3189440649,0.04215617691575058,0.04215617691575058,227779.64337836427,1970,100,5070,building_footprint_area,05,AR
433,G05000200,Washington County PUMA,4.616045951843262,3.06516195492351e-5,3.06516195492351e-5,150597.13058321754,8,100,5070,building_footprint_area,05,AR
433,G40000200,"Cherokee, Sequoyah & Adair Counties PUMA",66027.24644404929,0.43843628486376574,0.43843628486376574,150597.13058321754,23490,100,5070,building_footprint_area,40,OK
53,G05000800,"White, Jackson, Prairie & Woodruff Counties PUMA",99476.86118141189,0.9999843760795473,0.9999843760795473,99478.41542426124,27751,100,5070,building_footprint_area,05,AR
47,G05000400,"Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties PUMA",40154.878935244866,0.8391516345737084,0.8391516345737084,47851.755607487634,19775,100,5070,building_footprint_area,05,AR
46,G05000700,"St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties PUMA",22735.15894921124,0.09981207544278185,0.09981207544278185,227779.64337836427,4818,100,5070,building_footprint_area,05,AR
54,G05000300,"Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties PUMA",4.438503742218018,4.08922770395176e-5,4.08922770395176e-5,108541.36926463456,2,100,5070,building_footprint_area,05,AR
50,G05001500,"Logan, Polk, Franklin, Sevier, Howard & Scott Counties PUMA",47717.554413041566,0.1740474420310357,0.1740474420310357,274164.06616612436,22829,100,5070,building_footprint_area,05,AR
54,G05001300,"Pope, Johnson, Yell, Conway & Perry Counties PUMA",108536.48430764885,0.9999549945148213,0.9999549945148213,108541.36926463456,32749,100,5070,building_footprint_area,05,AR
50,G05000200,Washington County PUMA,2.470528304576874,9.011130959371989e-6,9.011130959371989e-6,274164.06616612436,2,100,5070,building_footprint_area,05,AR
50,G05001400,Sebastian & Crawford Counties PUMA,187346.0259194398,0.6833354514297331,0.6833354514297331,274164.06616612436,34088,100,5070,building_footprint_area,05,AR
43,G05001300,"Pope, Johnson, Yell, Conway & Perry Counties PUMA",0.5243291854858398,7.234935424589261e-6,7.234935424589261e-6,72471.85423435993,1,100,5070,building_footprint_area,05,AR
53,G05000700,"St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties PUMA",1.5542428493499756,1.5623920452706767e-5,1.5623920452706767e-5,99478.41542426124,1,100,5070,building_footprint_area,05,AR
46,G05000800,"White, Jackson, Prairie & Woodruff Counties PUMA",0.22146569192409515,9.72280440163035e-7,9.72280440163035e-7,227779.64337836427,1,100,5070,building_footprint_area,05,AR
52,G05000800,"White, Jackson, Prairie & Woodruff Counties PUMA",1.8915452361106873,2.044600251950294e-5,2.044600251950294e-5,92514.18385116546,2,100,5070,building_footprint_area,05,AR
56,G05000700,"St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties PUMA",1.1717371940612793,1.4001766242520058e-5,1.4001766242520058e-5,83684.95615238813,1,100,5070,building_footprint_area,05,AR
39,G05000700,"St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties PUMA",71263.8180418653,0.7381013388381543,0.7381013388381543,96550.18124481622,18772,100,5070,building_footprint_area,05,AR
51,G05000600,"Crittenden, Mississippi & Craighead (East) Counties PUMA",47789.232907614205,0.03559278171468995,0.03559278171468995,1342666.4229475074,5572,100,5070,building_footprint_area,05,AR
49,G05001300,"Pope, Johnson, Yell, Conway & Perry Counties PUMA",30548.0710707861,0.039968849625268754,0.039968849625268754,764296.9802031347,13373,100,5070,building_footprint_area,05,AR
49,G05001100,Faulkner & Lonoke Counties PUMA,196046.63467928302,0.2565058344561008,0.2565058344561008,764296.9802031347,39597,100,5070,building_footprint_area,05,AR
49,G05000400,"Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties PUMA",0.1266976147890091,1.6577013657091177e-7,1.6577013657091177e-7,764296.9802031347,1,100,5070,building_footprint_area,05,AR
443,G05001400,Sebastian & Crawford Counties PUMA,39.82028102874756,3.553353341985678e-4,3.553353341985678e-4,112063.94972951175,10,100,5070,building_footprint_area,05,AR
443,G40000300,Southeast Oklahoma PUMA,112024.129448483,0.9996446646658015,0.9996446646658015,112063.94972951175,44067,100,5070,building_footprint_area,40,OK
51,G05000700,"St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties PUMA",1.5757901668548584,1.17362744753502e-6,1.17362744753502e-6,1342666.4229475074,1,100,5070,building_footprint_area,05,AR
54,G05001500,"Logan, Polk, Franklin, Sevier, Howard & Scott Counties PUMA",0.4464532434940338,4.113208139152334e-6,4.113208139152334e-6,108541.36926463456,1,100,5070,building_footprint_area,05,AR
50,G40000300,Southeast Oklahoma PUMA,0.6911574006080627,2.5209627588076018e-6,2.5209627588076018e-6,274164.06616612436,1,100,5070,building_footprint_area,40,OK
39,G05000800,"White, Jackson, Prairie & Woodruff Counties PUMA",8253.021190674976,0.08547908542759033,0.08547908542759033,96550.18124481622,3408,100,5070,building_footprint_area,05,AR
49,G05000900,"Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities PUMA",209550.84304556926,0.2741746316855457,0.2741746316855457,764296.9802031347,28147,100,5070,building_footprint_area,05,AR
39,G05001100,Faulkner & Lonoke Counties PUMA,2.27435702085495,2.35562170006497e-5,2.35562170006497e-5,96550.18124481622,2,100,5070,building_footprint_area,05,AR
49,G05001000,Pulaski County (Central)--Little Rock City PUMA,188209.7704218449,0.2462521445156339,0.2462521445156339,764296.9802031347,13646,100,5070,building_footprint_area,05,AR
49,G05001200,Saline County PUMA,122294.16787610482,0.16000870217176771,0.16000870217176771,764296.9802031347,23844,100,5070,building_footprint_area,05,AR
45,G05001600,"Garland, Hot Spring, Clark & Montgomery Counties PUMA",161984.7729009681,0.7608757669864349,0.7608757669864349,212892.5376905268,42153,100,5070,building_footprint_area,05,AR
49,G05001600,"Garland, Hot Spring, Clark & Montgomery Counties PUMA",31.536441057920456,4.126202493896902e-5,4.126202493896902e-5,764296.9802031347,11,100,5070,building_footprint_area,05,AR
57,G40000300,Southeast Oklahoma PUMA,55109.05187933799,0.6127476931017145,0.6127476931017145,89937.5917686075,25052,100,5070,building_footprint_area,40,OK
57,G05001500,"Logan, Polk, Franklin, Sevier, Howard & Scott Counties PUMA",34827.81502633635,0.3872442472769536,0.3872442472769536,89937.5917686075,16382,100,5070,building_footprint_area,05,AR
39,G05001800,Southeast Arkansas PUMA,6843.341518828645,0.07087859836820415,0.07087859836820415,96550.18124481622,2989,100,5070,building_footprint_area,05,AR
39,G05001700,"Jefferson, Grant & Arkansas (Northwest) Counties PUMA",10187.726136426441,0.10551742114905062,0.10551742114905062,96550.18124481622,2103,100,5070,building_footprint_area,05,AR
