PUMA2020,state_fips,CZ90,afactor,PUMA20_GISJOIN,CZ90_name,pop_overlap,share_of_PUMA20,PUMA20_total_pop,cells,grid_res_m,crs_epsg,method,PUMA20_name,state,PUMA200_GEOID
02101,01,9500,1.2550076156844896e-5,G01002101,"Talladega city, AL",1.5901342630386353,1.2550076156844896e-5,126703.1564721912,1,100,5070,building_footprint_area,Lee County (West)--Auburn & Opelika Cities PUMA,AL,0102101
01700,01,11101,0.5964251930543596,G01001700,"Montgomery city, AL",68729.06118967547,0.5964251930543596,115235.00682073191,17655,100,5070,building_footprint_area,"Autauga, Dallas, Lowndes & Perry Counties PUMA",AL,0101700
01700,01,10700,2.809042962854806e-4,G01001700,"Birmingham city, AL",32.37000849843025,2.809042962854806e-4,115235.00682073191,11,100,5070,building_footprint_area,"Autauga, Dallas, Lowndes & Perry Counties PUMA",AL,0101700
01400,28,10802,3.789482710949497e-6,G28001400,"Demopolis city, AL",0.4444666802883148,3.789482710949497e-6,117289.53901915252,1,100,5070,building_footprint_area,"East Central Region--Jasper, Leake, Kemper, Neshoba, Scott & Smith Counties PUMA",MS,2801400
01802,01,11101,1,G01001802,"Montgomery city, AL",105465.63482022284,1,105465.63482022284,8984,100,5070,building_footprint_area,Montgomery City (East) & Pike Road Town (Northwest) PUMA,AL,0101802
01801,01,11101,1,G01001801,"Montgomery city, AL",109101.12972159123,1,109101.12972159123,10271,100,5070,building_footprint_area,Montgomery City (West) PUMA,AL,0101801
01700,01,10802,3.401834295188921e-7,G01001700,"Demopolis city, AL",0.0392010398209095,3.401834295188921e-7,115235.00682073191,1,100,5070,building_footprint_area,"Autauga, Dallas, Lowndes & Perry Counties PUMA",AL,0101700
02201,01,10301,8.498529404310418e-6,G01002201,"Eufaula city, AL",0.8868630528450012,8.498529404310418e-6,104354.88431624277,1,100,5070,building_footprint_area,Lee (East) & Russell Counties--Phenix City & Smiths Station Cities PUMA,AL,0102201
02500,01,10301,0.196707639090765,G01002500,"Eufaula city, AL",25042.40716208075,0.196707639090765,127307.751126664,8223,100,5070,building_footprint_area,"Covington, Pike, Barbour, Butler & Crenshaw Counties PUMA",AL,0102500
02500,01,9701,2.0029799205114564e-6,G01002500,"Columbus city (remainder), GA",0.25499486923217773,2.0029799205114564e-6,127307.751126664,1,100,5070,building_footprint_area,"Covington, Pike, Barbour, Butler & Crenshaw Counties PUMA",AL,0102500
02600,01,10802,0.0973908260505552,G01002600,"Demopolis city, AL",12554.158461443614,0.0973908260505552,128904.93869439817,6731,100,5070,building_footprint_area,Southwest Alabama PUMA,AL,0102600
02600,01,11001,0.3774404249893129,G01002600,"Mobile city, AL",48653.93484403496,0.3774404249893129,128904.93869439817,21866,100,5070,building_footprint_area,Southwest Alabama PUMA,AL,0102600
02500,01,9800,6.676502630953338e-4,G01002500,"Auburn city, AL",84.9970535337925,6.676502630953338e-4,127307.751126664,31,100,5070,building_footprint_area,"Covington, Pike, Barbour, Butler & Crenshaw Counties PUMA",AL,0102500
02500,01,11102,0.6543117812185621,G01002500,"Troy city, AL",83298.96140261693,0.6543117812185621,127307.751126664,31982,100,5070,building_footprint_area,"Covington, Pike, Barbour, Butler & Crenshaw Counties PUMA",AL,0102500
02500,01,11101,0.14810424024170224,G01002500,"Montgomery city, AL",18854.81775749428,0.14810424024170224,127307.751126664,7982,100,5070,building_footprint_area,"Covington, Pike, Barbour, Butler & Crenshaw Counties PUMA",AL,0102500
02300,01,10302,0.9998589284926348,G01002300,"Dothan city, AL",150227.68698895257,0.9998589284926348,150248.8828253327,38744,100,5070,building_footprint_area,"Houston, Geneva & Henry Counties--Dothan City PUMA",AL,0102300
02500,01,10302,1.3084041238084043e-4,G01002500,"Dothan city, AL",16.65699865669012,1.3084041238084043e-4,127307.751126664,13,100,5070,building_footprint_area,"Covington, Pike, Barbour, Butler & Crenshaw Counties PUMA",AL,0102500
02500,01,11001,2.8126746548340265e-5,G01002500,"Mobile city, AL",3.5807528495788574,2.8126746548340265e-5,127307.751126664,1,100,5070,building_footprint_area,"Covington, Pike, Barbour, Butler & Crenshaw Counties PUMA",AL,0102500
01100,01,11001,5.703213971729509e-5,G01001100,"Mobile city, AL",7.127221345901489,5.703213971729509e-5,124968.50690208538,4,100,5070,building_footprint_area,West Alabama PUMA,AL,0101100
02300,01,10301,9.500936631482786e-5,G01002300,"Eufaula city, AL",14.275051146745682,9.500936631482786e-5,150248.8828253327,11,100,5070,building_footprint_area,"Houston, Geneva & Henry Counties--Dothan City PUMA",AL,0102300
02600,01,11002,0.5250460858348472,G01002600,"Atmore city, AL",67681.03350627469,0.5250460858348472,128904.93869439817,25755,100,5070,building_footprint_area,Southwest Alabama PUMA,AL,0102600
02600,01,10400,7.134457424497809e-6,G01002600,"Meridian city, MS",0.9196667969226836,7.134457424497809e-6,128904.93869439817,2,100,5070,building_footprint_area,Southwest Alabama PUMA,AL,0102600
02400,01,10302,0.9994625600366748,G01002400,"Dothan city, AL",101878.38500059104,0.9994625600366748,101933.16795864038,26566,100,5070,building_footprint_area,Coffee & Dale Counties PUMA,AL,0102400
02400,01,10301,1.5703143398477064e-4,G01002400,"Eufaula city, AL",16.006711535155773,1.5703143398477064e-4,101933.16795864038,6,100,5070,building_footprint_area,Coffee & Dale Counties PUMA,AL,0102400
02400,01,11102,3.804085293405667e-4,G01002400,"Troy city, AL",38.77624651417136,3.804085293405667e-4,101933.16795864038,11,100,5070,building_footprint_area,Coffee & Dale Counties PUMA,AL,0102400
02500,01,11002,1.3742792847604352e-5,G01002500,"Atmore city, AL",1.7495640516281128,1.3742792847604352e-5,127307.751126664,2,100,5070,building_footprint_area,"Covington, Pike, Barbour, Butler & Crenshaw Counties PUMA",AL,0102500
02600,01,11101,4.188697191448015e-6,G01002600,"Montgomery city, AL",0.5399437546730042,4.188697191448015e-6,128904.93869439817,2,100,5070,building_footprint_area,Southwest Alabama PUMA,AL,0102600
01700,28,11001,7.451537126133634e-5,G28001700,"Mobile city, AL",9.637511759996414,7.451537126133634e-5,129335.88864767576,8,100,5070,building_footprint_area,"South Region--Covington, Greene, Jefferson Davis, Jones & Wayne Counties PUMA",MS,2801700
02600,01,11102,1.2314828087511405e-5,G01002600,"Troy city, AL",1.58744215965271,1.2314828087511405e-5,128904.93869439817,2,100,5070,building_footprint_area,Southwest Alabama PUMA,AL,0102600
03900,13,10301,0.1354493613592742,G13003900,"Eufaula city, AL",16259.49834154034,0.1354493613592742,120041.15913409623,6211,100,5070,building_footprint_area,Southwest Georgia Regional Commission (West & Central) PUMA,GA,1303900
03900,13,10302,1.326336918786048e-5,G13003900,"Dothan city, AL",1.5921502113342283,1.326336918786048e-5,120041.15913409623,2,100,5070,building_footprint_area,Southwest Georgia Regional Commission (West & Central) PUMA,GA,1303900
01700,28,2800,0.6689113810887951,G28001700,"Laurel city, MS",86514.2478996634,0.6689113810887951,129335.88864767576,30242,100,5070,building_footprint_area,"South Region--Covington, Greene, Jefferson Davis, Jones & Wayne Counties PUMA",MS,2801700
02701,01,11001,0.9978164414432326,G01002701,"Mobile city, AL",114855.30674370169,0.9978164414432326,115106.64885174274,19887,100,5070,building_footprint_area,"Baldwin County (North)--Daphne, Fairhope & Spanish Fort Cities PUMA",AL,0102701
02701,01,11002,5.2372359537667995e-5,G01002701,"Atmore city, AL",6.028406798839569,5.2372359537667995e-5,115106.64885174274,4,100,5070,building_footprint_area,"Baldwin County (North)--Daphne, Fairhope & Spanish Fort Cities PUMA",AL,0102701
01700,28,2700,0.10339434466033635,G28001700,"Biloxi city, MS",13372.59944778867,0.10339434466033635,129335.88864767576,5848,100,5070,building_footprint_area,"South Region--Covington, Greene, Jefferson Davis, Jones & Wayne Counties PUMA",MS,2801700
05998,12,9900,0.38513461189218345,G12005998,"Tallahassee city, FL",44601.565995356534,0.38513461189218345,115807.73220102722,18039,100,5070,building_footprint_area,"Holmes, Walton, & Washington Counties PUMA",FL,1205998
02300,01,9900,3.458602307387147e-5,G01002300,"Tallahassee city, FL",5.196511328220367,3.458602307387147e-5,150248.8828253327,7,100,5070,building_footprint_area,"Houston, Geneva & Henry Counties--Dothan City PUMA",AL,0102300
02300,01,11102,9.52799430661758e-7,G01002300,"Troy city, AL",0.14315705001354218,9.52799430661758e-7,150248.8828253327,1,100,5070,building_footprint_area,"Houston, Geneva & Henry Counties--Dothan City PUMA",AL,0102300
02801,01,11001,0.9995223432032015,G01002801,"Mobile city, AL",138318.9433364151,0.9995223432032015,138385.04389320593,30947,100,5070,building_footprint_area,Mobile County (Outer)--Prichard & Saraland Cities PUMA,AL,0102801
02300,01,10900,1.052331854595272e-5,G01002300,"Pensacola city, FL",1.5811168551445007,1.052331854595272e-5,150248.8828253327,2,100,5070,building_footprint_area,"Houston, Geneva & Henry Counties--Dothan City PUMA",AL,0102300
02500,01,10900,3.397625417798698e-5,G01002500,"Pensacola city, FL",4.325440511107445,3.397625417798698e-5,127307.751126664,5,100,5070,building_footprint_area,"Covington, Pike, Barbour, Butler & Crenshaw Counties PUMA",AL,0102500
05998,12,10900,0.6147508888536771,G12005998,"Pensacola city, FL",71192.9063067101,0.6147508888536771,115807.73220102722,17572,100,5070,building_footprint_area,"Holmes, Walton, & Washington Counties PUMA",FL,1205998
09101,12,10900,0.9999628974611032,G12009101,"Pensacola city, FL",107797.6871985551,0.9999628974611032,107801.686914837,15851,100,5070,building_footprint_area,Okaloosa County (North) PUMA,FL,1209101
11300,12,11002,1.4562160120605686e-4,G12011300,"Atmore city, AL",26.79990443587303,1.4562160120605686e-4,184037.97385767475,12,100,5070,building_footprint_area,Santa Rosa County PUMA,FL,1211300
02600,01,10900,9.478620739653445e-5,G01002600,"Pensacola city, FL",12.21841025352478,9.478620739653445e-5,128904.93869439817,5,100,5070,building_footprint_area,Southwest Alabama PUMA,AL,0102600
