state,CZ20,CZ90,CZ90_name,pop_overlap,share_of_CZ20,CZ20_total_pop,cells,grid_res_m,crs_epsg,method
CO,79,35201,"Grand Junction city, CO",240040.35847266624,0.999996388633559,240041.22534949193,49159,100,5070,building_footprint_area
CO,80,35201,"Grand Junction city, CO",0.4572778455913067,2.656024699978792e-6,172166.26245793496,2,100,5070,building_footprint_area
CO,85,28402,"Limon town, CO",0.9279243052005768,2.2765460037471065e-5,40760.182472625165,2,100,5070,building_footprint_area
CO,78,28402,"Limon town, CO",5642.633708155714,0.005626843669912043,1002806.1981405497,2175,100,5070,building_footprint_area
CO,77,28301,"Sterling city, CO",1.5793257653713226,9.864848262050193e-5,16009.630593578884,4,100,5070,building_footprint_area
CO,77,28504,"Burlington city, CO",8800.735839625908,0.5497151098012025,16009.630593578884,4324,100,5070,building_footprint_area
CO,77,28402,"Limon town, CO",0.31542958691716194,1.970249001520834e-5,16009.630593578884,3,100,5070,building_footprint_area
CO,78,28900,"Denver city, CO",19.150757133960724,1.909716670027664e-5,1002806.1981405497,10,100,5070,building_footprint_area
CO,82,35202,"Gunnison city, CO",17592.838431668235,0.9999686739552884,17593.389562976314,6290,100,5070,building_footprint_area
CO,79,35903,"Moab city, UT",0.7346731424331665,3.0606123650781534e-6,240041.22534949193,1,100,5070,building_footprint_area
CO,72,28702,"Glenwood Springs city, CO",0.05244533345103264,1.6052989102790616e-8,3267013.5832781238,1,100,5070,building_footprint_area
CO,76,28701,"Salida city, CO",18120.43428661744,0.9998230305898168,18123.641616784735,6087,100,5070,building_footprint_area
CO,80,28701,"Salida city, CO",0.17301182448863983,1.0049113108377516e-6,172166.26245793496,1,100,5070,building_footprint_area
CO,72,28401,"Colorado Springs city, CO",13.310869038105011,4.07432313910029e-6,3267013.5832781238,7,100,5070,building_footprint_area
CO,78,28401,"Colorado Springs city, CO",805045.981179382,0.8027931844379661,1002806.1981405497,78690,100,5070,building_footprint_area
CO,538,35903,"Moab city, UT",0.08115719258785248,3.3827531770397376e-6,23991.46149317152,1,100,5070,building_footprint_area
CO,76,28900,"Denver city, CO",1.5170955061912537,8.370809455789699e-5,18123.641616784735,2,100,5070,building_footprint_area
CO,72,28701,"Salida city, CO",9.573202833533287,2.9302611052897822e-6,3267013.5832781238,8,100,5070,building_footprint_area
CO,72,28402,"Limon town, CO",0.06370171159505844,1.9498453242162556e-8,3267013.5832781238,1,100,5070,building_footprint_area
CO,82,28701,"Salida city, CO",0.5511313080787659,3.1326044711621203e-5,17593.389562976314,1,100,5070,building_footprint_area
CO,76,35202,"Gunnison city, CO",1.690234661102295,9.326131562527304e-5,18123.641616784735,1,100,5070,building_footprint_area
CO,73,34805,"Alamosa city, CO",45091.63139299443,0.9999548214555479,45093.66865930846,17528,100,5070,building_footprint_area
CO,78,28502,"Pueblo city, CO",192098.43249587808,0.19156087472542152,1002806.1981405497,25167,100,5070,building_footprint_area
CO,75,28504,"Burlington city, CO",1436.7575818439946,0.06453749620783103,22262.369417263777,955,100,5070,building_footprint_area
CO,75,28402,"Limon town, CO",0.04901506006717682,2.201700059346206e-6,22262.369417263777,1,100,5070,building_footprint_area
CO,79,35402,"Cortez city, CO",0.13220368325710297,5.507540759493244e-7,240041.22534949193,1,100,5070,building_footprint_area
CO,74,35402,"Cortez city, CO",28027.408867330756,0.29105788178493314,96294.96612649923,12029,100,5070,building_footprint_area
CO,74,35201,"Grand Junction city, CO",0.1690858155488968,1.755915416458788e-6,96294.96612649923,1,100,5070,building_footprint_area
CO,538,35402,"Cortez city, CO",0.07620780169963837,3.176455161821998e-6,23991.46149317152,1,100,5070,building_footprint_area
CO,80,35300,"Farmington city, NM",692.9587378390133,0.004024939195089529,172166.26245793496,193,100,5070,building_footprint_area
CO,75,28502,"Pueblo city, CO",17537.56281723047,0.7877671279513777,22262.369417263777,4664,100,5070,building_footprint_area
CO,83,28503,"Trinidad city, CO",21084.34098496847,0.9999687458825685,21084.999978033826,7898,100,5070,building_footprint_area
CO,74,35300,"Farmington city, NM",68262.34584830701,0.7088879989700939,96294.96612649923,22393,100,5070,building_footprint_area
CO,83,34805,"Alamosa city, CO",0.6589930653572083,3.125411743152676e-5,21084.999978033826,1,100,5070,building_footprint_area
CO,73,35300,"Farmington city, NM",2.0372663140296936,4.5178544452030315e-5,45093.66865930846,2,100,5070,building_footprint_area
CO,75,28501,"Springfield town, CO",3281.000003129244,0.14737874220095054,22262.369417263777,1097,100,5070,building_footprint_area
CO,218,28501,"Springfield town, CO",1,1.022175005168857e-4,9783.06058104802,1,100,5070,building_footprint_area
CT,88,20901,"Bridgeport city, CT",3591318.889299486,0.9995775519020599,3592836.6763196066,409207,100,5070,building_footprint_area
CT,254,20500,"Boston city, MA",63.39725112915039,1.1396478224223694e-5,5562880.9077524375,8,100,5070,building_footprint_area
CT,88,20500,"Boston city, MA",28.88443636894226,8.039451545159188e-6,3592836.6763196066,5,100,5070,building_footprint_area
CT,88,20401,"Providence city, RI",132.6977123171091,3.6933967299910953e-5,3592836.6763196066,32,100,5070,building_footprint_area
CT,254,20901,"Bridgeport city, CT",0.4994708299636841,8.978636038524947e-8,5562880.9077524375,1,100,5070,building_footprint_area
CT,258,20800,"Springfield city, MA",201.52545058727264,2.894851210907441e-4,696151.3249038489,45,100,5070,building_footprint_area
CT,88,20800,"Springfield city, MA",46.54796230792999,1.2955769076487028e-5,3592836.6763196066,15,100,5070,building_footprint_area
CT,258,20901,"Bridgeport city, CT",80.8743563592434,1.1617352932627629e-4,696151.3249038489,13,100,5070,building_footprint_area
CT,256,20401,"Providence city, RI",38.48830063268542,6.657239993960071e-5,578142.0028060395,11,100,5070,building_footprint_area
CT,255,20902,"Pittsfield city, MA",15.163916766643524,9.123884799066804e-5,166200.2217322439,10,100,5070,building_footprint_area
CT,88,20902,"Pittsfield city, MA",3.1657307744026184,8.811229286507667e-7,3592836.6763196066,3,100,5070,building_footprint_area
CT,388,20901,"Bridgeport city, CT",150.67513209581375,0.5505734687904049,273.66943857073784,42,100,5070,building_footprint_area
CT,388,19300,"Poughkeepsie city, NY",1.106638789176941,0.0040437061403584456,273.66943857073784,1,100,5070,building_footprint_area
CT,388,19400,"New York city, NY",121.88766768574715,0.4453828250692367,273.66943857073784,23,100,5070,building_footprint_area
CT,88,19400,"New York city, NY",116.25327658653259,3.235696110339726e-5,3592836.6763196066,9,100,5070,building_footprint_area
DE,90,19700,"Philadelphia city, PA",2208.8458462804556,4.554186542863801e-4,4850143.544826056,192,100,5070,building_footprint_area
DE,90,19800,"Wilmington city, DE",559186.5980034759,0.11529279346793651,4850143.544826056,36840,100,5070,building_footprint_area
DE,89,19901,"Dover city, DE",405323.723664107,0.5359511086671251,756269.9602807432,68427,100,5070,building_footprint_area
DE,90,19901,"Dover city, DE",3.3390069007873535,6.884346555782408e-7,4850143.544826056,1,100,5070,building_footprint_area
DE,89,19800,"Wilmington city, DE",9.836299106478691,1.3006333218401602e-5,756269.9602807432,4,100,5070,building_footprint_area
DE,89,19902,"Cambridge city, MD",2.8906022757291794,3.822183119181578e-6,756269.9602807432,4,100,5070,building_footprint_area
FL,93,7600,"Jacksonville city (remaind, FL",1599224.7838983256,0.8967353077348411,1783385.5432078138,144491,100,5070,building_footprint_area
FL,94,9900,"Tallahassee city, FL",111391.97066884884,0.37292134661957754,298700.9772397969,42403,100,5070,building_footprint_area
FL,3,10302,"Dothan city, AL",4.374455511569977,1.43451148836607e-5,304943.9162423542,3,100,5070,building_footprint_area
FL,3,9900,"Tallahassee city, FL",1.2178595066070557,3.993716358122593e-6,304943.9162423542,2,100,5070,building_footprint_area
FL,100,10302,"Dothan city, AL",1.1225422620773315,1.4294937700259227e-6,785272.5808360642,1,100,5070,building_footprint_area
FL,100,10900,"Pensacola city, FL",785054.7881741533,0.9997226534235042,785272.5808360642,104015,100,5070,building_footprint_area
FL,11,11102,"Troy city, AL",3.1534130722284317,3.0012052749192516e-5,105071.55570400879,4,100,5070,building_footprint_area
FL,100,11102,"Troy city, AL",9.743292331695557,1.2407529015366952e-5,785272.5808360642,4,100,5070,building_footprint_area
FL,92,7700,"Lake City city, FL",155845.72745380132,0.3062767212458122,508839.61020570784,48601,100,5070,building_footprint_area
FL,11,10900,"Pensacola city, FL",1.0695246458053589,1.0179012184974752e-5,105071.55570400879,1,100,5070,building_footprint_area
FL,112,8503,"Valdosta city, GA",9.344418674707413,4.930005217781956e-5,189541.76034141262,4,100,5070,building_footprint_area
FL,100,11002,"Atmore city, AL",39.67733453772962,5.0526830435727105e-5,785272.5808360642,25,100,5070,building_footprint_area
FL,99,8503,"Valdosta city, GA",12.50520008802414,1.0093481585882287e-5,1238938.2178608335,8,100,5070,building_footprint_area
FL,99,7700,"Lake City city, FL",17899.894818184897,0.014447770324731029,1238938.2178608335,6422,100,5070,building_footprint_area
FL,103,10102,"Thomasville city, GA",21.787688046693802,4.3675256354492245e-5,498856.5578150938,8,100,5070,building_footprint_area
FL,103,9900,"Tallahassee city, FL",382836.79313056264,0.7674286067468415,498856.5578150938,55396,100,5070,building_footprint_area
FL,11,11002,"Atmore city, AL",0.8406928777694702,8.001146191627153e-6,105071.55570400879,1,100,5070,building_footprint_area
FL,103,10101,"Bainbridge city, GA",54.92707598209381,1.1010595154379645e-4,498856.5578150938,18,100,5070,building_footprint_area
FL,94,10900,"Pensacola city, FL",2.4394643008708954,8.166911013861516e-6,298700.9772397969,3,100,5070,building_footprint_area
FL,100,9900,"Tallahassee city, FL",4.742021560668945,6.038694940322771e-6,785272.5808360642,5,100,5070,building_footprint_area
FL,94,10000,"Panama City city, FL",187168.09781270265,0.6266069148560042,298700.9772397969,26182,100,5070,building_footprint_area
FL,93,7900,"Gainesville city, FL",44093.59440562688,0.024724656187531266,1783385.5432078138,11277,100,5070,building_footprint_area
FL,92,9900,"Tallahassee city, FL",8.213796019554138,1.614221034450042e-5,508839.61020570784,3,100,5070,building_footprint_area
FL,103,7700,"Lake City city, FL",0.8024014234542847,1.6084812575556096e-6,498856.5578150938,1,100,5070,building_footprint_area
FL,93,7500,"Daytona Beach city, FL",72666.95884985919,0.04074663447094652,1783385.5432078138,19448,100,5070,building_footprint_area
FL,92,7900,"Gainesville city, FL",352054.89389405237,0.6918779254463457,508839.61020570784,60844,100,5070,building_footprint_area
FL,100,10000,"Panama City city, FL",6.3937806487083435,8.142116259682736e-6,785272.5808360642,3,100,5070,building_footprint_area
FL,101,7500,"Daytona Beach city, FL",664965.7750512965,0.9997654407170716,665121.7855403728,69004,100,5070,building_footprint_area
FL,101,7600,"Jacksonville city (remaind, FL",2.503847688436508,3.764495078750544e-6,665121.7855403728,2,100,5070,building_footprint_area
FL,92,7500,"Daytona Beach city, FL",4.44822695851326,8.741903871663964e-6,508839.61020570784,5,100,5070,building_footprint_area
FL,102,10000,"Panama City city, FL",12285.225877027959,0.9951119909504198,12345.571140484884,3335,100,5070,building_footprint_area
FL,98,7800,"Ocala city, FL",523930.6506415048,0.15818714377724846,3312093.752569923,101253,100,5070,building_footprint_area
FL,98,7500,"Daytona Beach city, FL",98.93083333969116,2.98695751782173e-5,3312093.752569923,37,100,5070,building_footprint_area
FL,98,7900,"Gainesville city, FL",121.08386513590813,3.655810317626323e-5,3312093.752569923,34,100,5070,building_footprint_area
FL,92,7800,"Ocala city, FL",29.8115131855011,5.858724947424836e-5,508839.61020570784,25,100,5070,building_footprint_area
FL,101,7800,"Ocala city, FL",0.6692973971366882,1.006277965459999e-6,665121.7855403728,1,100,5070,building_footprint_area
FL,98,7400,"Orlando city, FL",2787381.5611264603,0.8415768904378604,3312093.752569923,198593,100,5070,building_footprint_area
FL,95,7300,"Palm Bay city, FL",757394.4419392098,0.27755610344640436,2728797.646798862,71726,100,5070,building_footprint_area
FL,95,7500,"Daytona Beach city, FL",9.44834578037262,3.4624574641716006e-6,2728797.646798862,2,100,5070,building_footprint_area
FL,101,7400,"Orlando city, FL",25.80272388458252,3.879398396734112e-5,665121.7855403728,5,100,5070,building_footprint_area
FL,105,6700,"Tampa city, FL",3160200.1310483846,0.998603785045282,3164618.618890058,225178,100,5070,building_footprint_area
FL,98,6700,"Tampa city, FL",11.983209669589996,3.618016446633484e-6,3312093.752569923,7,100,5070,building_footprint_area
FL,105,7800,"Ocala city, FL",1.5786921977996826,4.988570149894982e-7,3164618.618890058,1,100,5070,building_footprint_area
FL,105,7400,"Orlando city, FL",17.190106600522995,5.43196785164342e-6,3164618.618890058,10,100,5070,building_footprint_area
FL,104,7400,"Orlando city, FL",521.8730360716581,6.22691874905024e-4,838091.931344466,51,100,5070,building_footprint_area
FL,104,6800,"Lakeland city, FL",837559.2256793098,0.9993643827780305,838091.931344466,92234,100,5070,building_footprint_area
FL,104,6700,"Tampa city, FL",10.832629084587097,1.2925347064503302e-5,838091.931344466,5,100,5070,building_footprint_area
